"N","rep","K_est","loglik","bic","n_params","cf_effect_pp","cf_effect_pct","purchase_base","purchase_cf","gamma_weighted","converged","k_selected_bic","k_selected_stable","k_selected_osce","k_selected_consensus"
10000,87,4,-6865.20027854656,13905.3970241607,19,2.43582931602759e-11,5.50469901926960e-11,0.442500000000388,0.442500000000144,-1406468.06656862,TRUE,2,3,5,2
10000,87,5,-6860.508696094,13942.0655611154,24,-0.025984573180704,-0.058687736548819,0.4425,0.442759845731807,-74918.9099037919,TRUE,2,3,5,2
10000,88,1,-116953482422.675,233906964882.192,4,5.05,5.63176090108174,0.9472,0.8967,15224834.9692257,FALSE,2,3,5,2
10000,88,2,-6852.13356403727,13787.1601914223,9,0,0,0.4371,0.4371,-11939426.4942344,TRUE,2,3,5,2
10000,88,3,-6852.13356403727,13833.2118932822,14,0,0,0.4371,0.4371,-698288.004690163,TRUE,2,3,5,2
10000,88,4,-6852.13356403727,13879.2635951421,19,0,0,0.4371,0.4371,15532062.4405749,TRUE,2,3,5,2
10000,88,5,-6852.13356403727,13925.315297002,24,0,0,0.4371,0.4371,-4682185.06048659,TRUE,2,3,5,2
10000,89,1,-272366461578.22,544732923193.281,4,0,NA,0,0,-29360762.5784499,FALSE,2,3,5,2
10000,89,2,-6859.05663754154,13801.0063384309,9,0,0,0.4399,0.4399,11901366.3763286,TRUE,2,3,5,2
10000,89,3,-6859.05663754154,13847.0580402907,14,0,0,0.4399,0.4399,-2654382.75668211,TRUE,2,3,5,2
10000,89,4,-6859.05652293156,13893.1095129307,19,8.80272459091724e-05,0.000200107724595701,0.439900169952672,0.439899289680213,-6458024.05192923,TRUE,2,3,5,2
10000,89,5,-6859.05663754154,13939.1614440105,24,0,0,0.4399,0.4399,-612086.385118792,TRUE,2,3,5,2
10000,90,1,-643372142637.423,1286744285311.69,4,0,NA,0,0,-33973958.9899956,FALSE,2,3,5,2
10000,90,2,-6855.63490301244,13794.1628693727,9,0,0,0.4385,0.4385,-21154780.8331736,TRUE,2,3,5,2
10000,90,3,-6855.63490301244,13840.2145712326,14,0,0,0.4385,0.4385,14908202.4448838,TRUE,2,3,5,2
10000,90,4,-6855.63490301244,13886.2662730924,19,0,0,0.4385,0.4385,2692558.47895853,TRUE,2,3,5,2
10000,90,5,-6855.63490301244,13932.3179749523,24,0,0,0.4385,0.4385,-501635.889113082,TRUE,2,3,5,2
10000,91,1,-400519661986.378,801039324009.596,4,0,0,1,1,30770755.7678689,FALSE,2,3,5,2
10000,91,2,-6856.62066192146,13796.1343871907,9,0,0,0.4389,0.4389,1815344.9820583,TRUE,2,3,5,2
10000,91,3,-6856.62066192146,13842.1860890506,14,0,0,0.4389,0.4389,2398270.08374241,TRUE,2,3,5,2
10000,91,4,-6856.62066192146,13888.2377909105,19,0,0,0.4389,0.4389,-6605649.27636649,TRUE,2,3,5,2
